Date;Close;Open;High;Low;Volume;Variation;return;volatility;lag1;lag2;vol_lag1;vol_lag2;ret_abs;ret_sq;ma5;ma20;std5;std20
2021-01-07;921.52;915.67;924.79;915.67;;0.64;0.006368442862801919;0.011954787649130341;-0.004195757003982409;-0.010213886076833779;;;0.006368442862801919;4.0557064496772694e-05;922.0899999999999;925.3745000000001;0.007625850446263334;0.011954787649130341
2021-01-08;919.6;921.52;924.31;918.9;;-0.21;-0.002085687729224396;0.011970253365584039;0.006368442862801919;-0.004195757003982409;0.011954787649130341;;0.002085687729224396;4.350093303837217e-06;921.0540000000001;925.9795;0.006724267070272121;0.011970253365584039
2021-01-12;923.89;919.6;923.89;916.78;;0.47;0.004654224046879812;0.010474488730567692;-0.002085687729224396;0.006368442862801919;0.011970253365584039;0.011954787649130341;0.004654224046879812;2.1661801478554292e-05;920.04;925.6135;0.0067547537866474465;0.010474488730567692
2021-01-13;919.89;923.89;925.45;918.95;;-0.43;-0.004338919258702055;0.010480067594021605;0.004654224046879812;-0.002085687729224396;0.010474488730567692;0.011970253365584039;0.004338919258702055;1.882622033353559e-05;920.1139999999999;925.2355;0.005073637425990283;0.010480067594021605
2021-01-14;926.07;919.89;926.43;919.89;;0.67;0.006695728064380226;0.01057594664325783;-0.004338919258702055;0.004654224046879812;0.010480067594021605;0.010474488730567692;0.006695728064380226;4.483277431212896e-05;922.1940000000001;925.0285;0.0051165912605384235;0.01057594664325783
2021-01-15;934.83;926.07;937.34;924.86;;0.95;0.009414868834354986;0.010724965363637002;0.006695728064380226;-0.004338919258702055;0.01057594664325783;0.010480067594021605;0.009414868834354986;8.863975516810881e-05;924.856;925.007;0.005856242338857472;0.010724965363637002
2021-01-18;938.69;934.83;938.69;932.57;;0.41;0.0041205916794755885;0.010419543016870321;0.009414868834354986;0.006695728064380226;0.010724965363637002;0.01057594664325783;0.0041205916794755885;1.6979275788963452e-05;928.674;924.6289999999999;0.005160139270171905;0.010419543016870321
2021-01-19;939.74;938.69;940.13;933.78;;0.11;0.001117955004295547;0.010419611986383054;0.0041205916794755885;0.009414868834354986;0.010419543016870321;0.010724965363637002;0.001117955004295547;1.2498233916294564e-06;931.844;924.3870000000001;0.005307030777307055;0.010419611986383054
2021-01-20;942.47;939.74;943.38;939.52;;0.29;0.0029008473171355633;0.00648947646171025;0.001117955004295547;0.0041205916794755885;0.010419611986383054;0.010419543016870321;0.0029008473171355633;8.414915157332595e-06;936.36;925.902;0.003259759657230109;0.00648947646171025
2021-01-21;941.8;942.47;944.21;940.61;;-0.07;-0.0007111507673921561;0.005402392987116712;0.0029008473171355633;0.001117955004295547;0.00648947646171025;0.010419611986383054;0.0007111507673921561;5.057354139624525e-07;939.5060000000001;926.6025;0.0038422460909549373;0.005402392987116712
2021-01-22;946.1;941.8;946.43;940.15;;0.46;0.004555333900944362;0.005385338201154126;-0.0007111507673921561;0.0029008473171355633;0.005402392987116712;0.00648947646171025;0.004555333900944362;2.0751066949092976e-05;941.76;927.2860000000001;0.002189725582891343;0.005385338201154126
2021-01-25;953.29;946.1;953.64;941.9;;0.76;0.007570887856846323;0.005371450046854399;0.004555333900944362;-0.0007111507673921561;0.005385338201154126;0.005402392987116712;0.007570887856846323;5.7318342940943115e-05;944.68;928.5925000000001;0.0031858670237409;0.005371450046854399
